City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,92,NZ,1554165006,77,-46.19,168.86,54.0,4.0
tiarei,75,PF,1554165143,66,-17.53,-149.33,89.6,11.41
bluff,0,AU,1554165428,53,-23.58,149.07,76.54,12.64
jiangkou,76,CN,1554165571,84,30.7,117.56,52.6,2.91
yerbogachen,88,RU,1554165333,78,61.28,108.01,32.35,13.53
tiksi,44,RU,1554165442,77,71.64,128.87,14.17,3.24
rio bonito,40,BR,1554165340,69,-22.71,-42.63,78.8,5.82
chuy,20,UY,1554165187,92,-33.69,-53.46,67.0,7.72
tuy hoa,24,VN,1554165572,94,13.08,109.3,76.81,4.14
yellowknife,75,CA,1554165319,57,62.45,-114.38,23.0,21.92
rikitea,0,PF,1554165420,100,-23.12,-134.97,76.27,14.99
kutum,0,SD,1554165231,40,14.2,24.66,57.37,5.48
selizharovo,8,RU,1554165573,73,56.86,33.45,21.28,6.15
chokurdakh,0,RU,1554165167,91,70.62,147.9,5.89,11.74
calvinia,20,ZA,1554165573,51,-31.47,19.78,41.35,6.15
nikolskoye,0,RU,1554165336,74,59.7,30.79,36.0,8.95
ustupo,100,PA,1554165573,88,9.13,-77.93,78.43,6.71
rapu-rapu,0,PH,1554165574,96,13.19,124.13,79.96,15.43
grindavik,40,IS,1554165415,74,63.84,-22.43,30.99,20.8
russell,20,AR,1554159600,60,-33.01,-68.8,75.2,2.46
samarai,92,PG,1554165485,100,-10.62,150.67,77.89,20.13
bosaso,0,SO,1554165574,100,11.28,49.18,79.33,6.26
vendome,20,US,1554165311,26,45.82,-112.24,48.2,2.01
touros,80,BR,1554165376,100,-5.2,-35.46,77.89,7.16
tecoanapa,5,MX,1554162540,69,16.99,-99.26,82.4,9.17
klaksvik,44,FO,1554162600,100,62.23,-6.59,33.8,1.12
mahebourg,20,MU,1554164941,88,-20.41,57.7,75.99,3.36
sambava,88,MG,1554165575,100,-14.27,50.17,80.77,6.6
urcos,40,PE,1554163200,54,-13.69,-71.62,59.0,4.7
east london,88,ZA,1554165434,100,-33.02,27.91,64.3,17.78
bambous virieux,20,MU,1554165241,88,-20.34,57.76,75.99,3.36
ouadda,76,CF,1554165576,48,8.07,22.4,79.87,5.59
nuevitas,75,CU,1554162600,69,21.55,-77.27,78.8,11.41
sao joao da barra,75,BR,1554159600,78,-21.64,-41.05,75.2,10.07
northam,75,GB,1554165430,100,51.04,-4.21,46.99,5.82
berlevag,88,NO,1554165578,100,70.86,29.09,29.92,13.65
melur,20,IN,1554163200,83,10.03,78.34,78.8,5.82
vilhena,20,BR,1554159600,88,-12.74,-60.15,77.0,2.24
longyearbyen,20,NO,1554162600,65,78.22,15.63,8.6,9.17
bethel,90,US,1554162960,76,60.79,-161.76,46.4,6.93
carnarvon,0,ZA,1554165435,55,-30.97,22.13,43.87,12.41
tshela,20,CD,1554165579,92,-4.99,12.94,74.2,2.46
mbeya,68,TZ,1554165579,87,-8.91,33.47,58.72,2.13
santa fe,92,AR,1554165327,85,-31.62,-60.7,75.99,1.99
hun,0,BE,1554165572,61,50.34,4.87,51.01,4.7
mar del plata,0,AR,1554165580,57,-46.43,-67.52,67.27,26.84
ancud,90,CL,1554163200,100,-41.87,-73.83,51.8,12.75
puerto ayora,20,EC,1554165051,74,-0.74,-90.35,82.4,10.29
constitucion,5,MX,1554165017,7,23.99,-104.67,80.6,17.22
brae,92,GB,1554164400,87,60.4,-1.35,44.6,18.34
sorong,24,ID,1554165579,100,-0.86,131.25,80.5,4.59
przeworsk,0,PL,1554165498,50,50.06,22.49,35.01,5.82
cabo san lucas,5,MX,1554165177,60,22.89,-109.91,84.99,3.36
trinidad,92,UY,1554165581,72,-33.52,-56.9,72.67,3.69
pevek,0,RU,1554165448,81,69.7,170.27,26.23,16.22
maisach,12,DE,1554165427,86,48.22,11.26,45.0,2.24
marzuq,0,YE,1554165479,88,14.4,46.47,48.19,2.57
jieshi,20,CN,1554165582,100,22.82,115.83,66.01,19.13
ryotsu,75,JP,1554163200,93,38.08,138.43,37.4,16.11
siuna,80,NI,1554165582,92,13.73,-84.78,75.19,2.46
saint george,0,GR,1554162600,81,39.45,22.34,44.6,2.57
vila,0,IT,1554165482,65,45.18,8.4,60.01,8.05
aklavik,40,CA,1554163200,62,68.22,-135.01,24.8,10.29
souillac,76,FR,1554165199,81,45.6,-0.6,55.99,3.36
hirara,40,JP,1554163200,59,24.8,125.28,68.0,18.34
lavrentiya,36,RU,1554165453,100,65.58,-170.99,27.67,1.68
dustlik,0,UZ,1554165583,84,40.53,68.03,41.89,2.91
thaton,0,MM,1554165583,100,16.91,97.37,75.55,2.68
atherton,88,GB,1554165578,70,53.52,-2.49,48.99,5.82
kushiro,75,JP,1554163200,59,43.11,144.15,33.8,3.36
kayerkan,80,RU,1554165584,92,69.35,87.76,23.53,11.86
sakaraha,0,MG,1554165584,88,-22.91,44.53,55.75,2.35
jiayuguan,64,CN,1554165585,72,39.77,98.29,29.74,4.14
ixtapa,5,MX,1554165323,78,20.71,-105.21,77.0,11.41
port macquarie,90,AU,1554165305,88,-31.43,152.91,68.0,8.05
nouadhibou,0,MR,1554163200,88,20.93,-17.03,64.4,8.05
adiake,20,CI,1554163200,83,5.29,-3.3,84.2,6.93
fairbanks,1,US,1554165323,72,64.84,-147.72,51.8,4.03
upernavik,76,GL,1554165141,100,72.79,-56.15,16.42,7.16
barrow,0,AR,1554165281,50,-38.31,-60.23,73.57,11.74
severo-kurilsk,80,RU,1554165460,98,50.68,156.12,30.55,8.39
ostrovnoy,76,RU,1554165587,87,68.05,39.51,24.7,17.78
winnemucca,90,US,1554165047,36,40.97,-117.74,60.8,11.41
praia da vitoria,75,PT,1554165096,76,38.73,-27.07,57.2,27.07
lebu,75,ET,1554159600,67,8.96,38.73,60.8,3.36
new norfolk,75,AU,1554165555,54,-42.78,147.06,62.01,10.29
torbay,90,CA,1554165273,93,47.66,-52.73,50.0,23.04
margate,75,AU,1554165555,54,-43.03,147.26,62.01,10.29
faya,0,SA,1554163200,82,18.39,42.45,60.8,9.17
marsaxlokk,20,MT,1554165352,87,35.84,14.54,57.2,5.82
saint anthony,90,US,1554165319,29,43.97,-111.68,53.01,4.7
atbasar,0,KZ,1554165589,88,51.81,68.36,28.12,8.61
hohhot,0,CN,1554163200,20,40.81,111.65,41.0,4.47
tasiilaq,44,GL,1554162600,68,65.61,-37.64,24.8,12.75
norman wells,75,CA,1554163200,73,65.28,-126.83,26.6,17.22
manzhouli,0,CN,1554165446,58,49.6,117.43,22.63,2.8
ambilobe,0,MG,1554165476,98,-13.19,49.05,69.07,2.68
vaini,0,IN,1554163200,88,15.34,74.49,68.0,1.12
bay roberts,90,CA,1554165273,93,47.58,-53.28,50.0,23.04
secunda,92,ZA,1554165153,96,-26.52,29.2,57.99,4.0
codrington,75,AU,1554165161,88,-28.95,153.24,68.0,4.81
luderitz,0,NA,1554165440,76,-26.65,15.16,59.35,17.78
lorengau,12,PG,1554165499,92,-2.02,147.27,85.0,11.18
gamba,24,CN,1554165591,80,28.28,88.52,-2.93,0.11
port charlotte,1,US,1554165569,82,26.98,-82.09,73.0,7.49
parrita,75,CR,1554165338,69,9.52,-84.33,77.0,8.05
timmendorfer strand,0,DE,1554165495,52,54.0,10.78,41.0,10.29
mount gambier,0,AU,1554163200,55,-37.83,140.78,62.6,11.41
sar-e pul,36,AF,1554165592,71,36.22,65.93,43.87,3.47
tanout,48,NE,1554165592,20,14.97,8.88,77.35,7.72
itoigawa,88,JP,1554165243,66,37.02,137.87,39.99,1.01
maloy,44,ID,1554165592,82,1.0,118.1,79.33,2.68
rorvik,88,NO,1554165301,85,64.86,11.24,36.0,1.01
kaitangata,92,NZ,1554165098,62,-46.28,169.85,55.0,10.0
oranjemund,0,ZA,1554165207,90,-28.55,16.43,59.71,27.29
khatanga,92,RU,1554165157,94,71.98,102.47,31.0,8.39
srednekolymsk,68,RU,1554165501,79,67.46,153.71,17.05,3.36
shepsi,92,RU,1554165593,100,44.04,39.15,46.75,6.6
wanning,0,AT,1554165575,48,48.64,13.53,46.0,8.05
puerto colombia,40,CO,1554165062,83,10.99,-74.96,80.6,11.41
jaicos,48,BR,1554165595,94,-7.36,-41.14,72.4,2.8
taoudenni,0,ML,1554165503,40,22.68,-3.98,60.07,3.13
susanville,75,US,1554165479,54,40.42,-120.65,55.4,9.17
pacific grove,90,US,1554165583,59,36.62,-121.92,66.99,4.7
duzce,8,TR,1554165596,83,40.84,31.16,28.12,1.79
trapani,0,IT,1554165510,87,38.02,12.54,60.01,3.36
los amates,8,GT,1554165596,42,15.26,-89.1,78.34,2.8
saint-philippe,1,CA,1554165159,50,45.36,-73.48,34.0,13.87
axochiapan,20,MX,1554165347,19,18.5,-98.75,93.0,5.82
channel-port aux basques,12,CA,1554165597,88,47.57,-59.14,29.29,33.55
luanda,0,AO,1554165445,94,-8.83,13.24,81.31,7.27
taupo,0,NZ,1554165128,60,-38.68,176.08,68.0,5.99
saskylakh,44,RU,1554165466,71,71.97,114.09,14.35,7.72
puqi,100,CN,1554165597,100,29.72,113.88,52.33,5.82
vanimo,56,PG,1554165597,97,-2.67,141.3,83.83,15.1
sawtell,90,AU,1554165505,93,-30.38,153.1,66.2,12.75
zainsk,0,RU,1554163200,97,55.29,52.01,32.0,11.18
sitka,0,US,1554165450,45,37.17,-99.65,58.81,8.84
sainte-rose,20,CA,1554165338,50,45.61,-73.79,34.0,9.17
oistins,40,BB,1554163200,73,13.07,-59.53,77.0,16.11
oriximina,68,BR,1554165387,83,-1.77,-55.87,80.86,2.91
rio grande,8,BR,1554165598,87,-32.03,-52.1,71.77,9.73
atuona,36,PF,1554165431,100,-9.8,-139.03,82.39,10.51
harper,1,US,1554165354,33,30.3,-99.24,64.4,4.7
dzaoudzi,0,YT,1554163200,88,-12.79,45.27,80.6,6.93
iqaluit,20,CA,1554165122,59,63.75,-68.52,-0.01,5.82
udimskiy,0,RU,1554165599,84,61.14,45.92,19.57,9.28
ponta do sol,68,BR,1554165599,87,-20.63,-46.0,68.89,2.91
talnakh,92,RU,1554165440,93,69.49,88.39,24.07,9.62
thabazimbi,88,ZA,1554165285,88,-24.59,27.41,64.0,2.35
roald,48,NO,1554165302,64,62.58,6.12,37.99,8.05
katsuura,20,JP,1554165256,42,33.93,134.5,48.99,10.29
gorontalo,0,ID,1554165600,82,0.54,123.06,78.16,2.35
beian,0,NO,1554165600,93,63.66,9.57,37.0,10.29
anantapur,0,IN,1554165600,90,14.68,77.61,66.37,2.68
saint-francois,0,FR,1554163200,87,46.42,3.91,42.8,2.24
leningradskiy,56,RU,1554165437,98,69.38,178.42,18.76,11.74
bud,44,NO,1554165117,64,62.91,6.91,41.0,8.05
sarlat-la-caneda,0,FR,1554165530,87,44.89,1.22,55.0,2.24
sipoo,0,FI,1554165532,92,60.38,25.27,32.0,8.05
hailar,0,CN,1554165601,47,49.2,119.7,22.63,4.7
plum,1,US,1554165592,43,40.5,-79.75,39.2,2.8
hami,32,CN,1554165602,54,42.84,93.51,47.29,8.16
steinbach,75,CA,1554165448,60,49.53,-96.69,41.0,11.41
saurimo,32,AO,1554165603,86,-9.66,20.4,66.55,3.13
riberalta,12,BO,1554165603,86,-11.0,-66.08,81.49,2.24
brandon,90,US,1554165508,87,43.59,-96.57,37.99,5.82
castro,90,CL,1554163200,100,-42.48,-73.76,51.8,12.75
noumea,90,NC,1554163200,55,-22.28,166.46,86.0,3.36
yeppoon,20,AU,1554163200,54,-23.13,150.74,80.6,16.11
alice springs,0,AU,1554163200,26,-23.7,133.88,69.8,17.22
arraial do cabo,48,BR,1554165606,100,-22.97,-42.02,74.11,5.7
nizhniy kuranakh,0,RU,1554165606,68,58.84,125.49,20.65,2.57
trairi,48,BR,1554165606,100,-3.28,-39.27,78.97,6.6
champerico,5,MX,1554162600,64,16.38,-93.6,75.2,27.51
port alfred,92,ZA,1554165588,93,-33.59,26.89,57.99,1.01
las vegas,1,US,1554165342,12,36.17,-115.15,75.2,10.29
salalah,20,OM,1554162600,74,17.01,54.1,78.8,3.24
emba,20,CY,1554163200,87,34.81,32.42,51.8,4.7
rock sound,12,BS,1554165607,100,24.9,-76.2,76.54,8.39
san cristobal,75,EC,1554165100,93,-0.39,-78.55,57.2,9.17
porbandar,0,IN,1554165608,80,21.64,69.61,74.02,7.94
mariental,0,DE,1554165600,58,52.28,10.99,42.01,4.0
fortuna,0,ES,1554165113,87,38.18,-1.13,57.99,2.24
nome,90,US,1554165455,58,30.04,-94.42,55.4,3.36
poum,0,MK,1554165475,68,41.28,20.71,33.7,1.79
luba,48,PH,1554165609,73,17.32,120.7,76.54,3.58
dudinka,80,RU,1554165609,94,69.41,86.18,22.0,11.63
guyam,40,PH,1554165571,65,14.15,120.86,86.0,11.41
talcahuano,0,CL,1554163200,77,-36.72,-73.12,60.8,12.75
terenos,40,BR,1554163200,73,-20.44,-54.87,75.2,4.7
severodvinsk,20,RU,1554163200,68,64.56,39.82,24.8,6.71
khem karan,0,IN,1554163200,55,31.14,74.56,66.2,1.57
santa rosa,32,AR,1554165568,89,-36.62,-64.29,69.97,7.94
sao filipe,0,CV,1554165612,99,14.9,-24.5,70.24,13.31
lagoa,0,PT,1554165128,87,37.14,-8.45,55.99,3.36
bilibino,76,RU,1554165612,75,68.06,166.44,30.55,6.93
tuatapere,92,NZ,1554165006,77,-46.13,167.69,54.0,4.0
husavik,32,CA,1554165295,60,50.56,-96.99,41.0,5.99
okha,36,RU,1554165613,99,53.59,142.95,21.28,8.84
umm kaddadah,0,SD,1554165613,22,13.6,26.69,67.81,11.41
martapura,40,ID,1554163200,94,-3.41,114.85,77.0,6.93
tura,20,IN,1554165490,95,25.52,90.21,62.05,4.25
lompoc,20,US,1554165248,82,34.64,-120.46,73.99,12.75
antofagasta,20,CL,1554163200,72,-23.65,-70.4,64.4,6.93
cayenne,20,GF,1554163200,88,4.94,-52.33,77.0,7.49
san quintin,48,PH,1554165614,73,17.54,120.52,76.54,3.58
zeya,0,RU,1554165614,49,53.74,127.27,23.89,4.03
ahipara,32,NZ,1554165451,84,-35.17,173.16,68.35,14.65
shimanovsk,0,RU,1554165616,42,52.0,127.67,28.12,3.91
poya,0,NC,1554165484,95,-21.35,165.16,79.78,6.38
bodden town,20,KY,1554165004,83,19.28,-81.25,80.6,6.93
paracatu,64,BR,1554165616,71,-17.22,-46.87,76.27,2.8
huilong,92,CN,1554165616,97,28.89,110.18,51.97,2.91
bandarbeyla,36,SO,1554165617,100,9.49,50.81,78.34,5.93
kingsville,40,US,1554165617,33,39.45,-76.42,45.0,4.7
kahului,40,US,1554165282,58,20.89,-156.47,82.4,16.11
uttaradit,20,TH,1554163200,83,17.63,100.1,86.0,1.12
seybaplaya,40,MX,1554162720,83,19.65,-90.67,78.8,11.41
valparaiso,1,US,1554165488,60,41.47,-87.06,45.0,10.29
lebanon,1,US,1554165331,41,43.64,-72.25,33.01,5.93
fuerte olimpo,36,BR,1554165618,73,-21.04,-57.87,81.31,7.94
hamilton,90,BM,1554165060,88,32.3,-64.78,68.0,13.87
north bend,90,US,1554165319,100,43.41,-124.22,55.0,8.05
itarema,36,BR,1554165619,96,-2.92,-39.92,77.26,3.36
launceston,90,AU,1554165327,62,-41.43,147.14,59.0,14.99
the valley,20,AI,1554165095,74,18.22,-63.06,78.8,11.41
taltal,24,CL,1554165620,87,-25.41,-70.49,58.09,1.12
bulgan,68,MN,1554165620,68,48.81,103.53,28.66,2.68
shatsk,0,UA,1554165620,64,51.49,23.92,29.65,7.72
amapa,20,HN,1554165353,58,15.09,-87.97,82.4,18.34
ambulu,56,ID,1554165620,100,-8.35,113.61,78.34,1.68
uri,0,IT,1554165604,100,40.64,8.49,48.99,2.24
warri,8,NG,1554165621,90,5.52,5.75,78.79,7.72
haines junction,0,CA,1554165621,39,60.75,-137.51,48.37,2.8
bredasdorp,80,ZA,1554165121,88,-34.53,20.04,53.01,10.4
christchurch,56,NZ,1554165315,66,-43.53,172.64,55.99,6.93
mingguang,92,CN,1554165622,71,32.78,118.01,55.12,6.82
dingle,36,PH,1554165227,80,11.0,122.67,77.89,12.19
guerrero negro,0,MX,1554165622,29,27.97,-114.04,77.62,8.72
gizo,20,IL,1554165499,82,31.8,34.94,55.4,5.82
port blair,48,IN,1554165606,100,11.67,92.75,83.2,5.59
koumac,36,NC,1554165467,81,-20.56,164.28,80.41,5.59
acapulco,5,MX,1554162540,69,16.86,-99.88,82.4,9.17
geraldton,75,CA,1554163200,50,49.72,-86.95,30.2,5.82
atar,0,MR,1554165437,51,20.52,-13.05,58.27,2.91
jalu,0,LY,1554165452,47,29.03,21.55,56.83,10.18
kananga,32,CD,1554165623,92,-5.9,22.41,72.49,2.46
tarragona,0,ES,1554165584,93,41.12,1.25,55.0,2.68
necochea,0,AR,1554165323,54,-38.55,-58.74,72.67,10.74
ornskoldsvik,44,SE,1554162600,69,63.29,18.72,33.8,4.7
vrangel,0,RU,1554165623,100,42.73,133.08,35.05,11.63
altus,1,US,1554165155,30,34.64,-99.33,60.8,8.05
puerto narino,75,CO,1554163200,100,-3.77,-70.38,77.0,2.24
katherine,0,AU,1554163200,30,-14.47,132.26,82.4,10.29
alofi,40,NU,1554163200,69,-19.06,-169.92,82.4,12.75
madang,80,PG,1554165625,100,-5.21,145.81,76.63,3.02
huntsville,1,US,1554165333,43,34.73,-86.59,54.0,3.58
serebryanyy bor,0,RU,1554165626,69,56.8,124.8,16.69,2.57
estacion coahuila,1,MX,1554165479,8,32.19,-115.0,87.8,4.36
komsomolskiy,80,RU,1554165218,91,67.55,63.78,24.25,16.89
bollnas,44,SE,1554165627,59,61.35,16.39,32.53,6.71
saldanha,64,PT,1554165167,89,41.42,-6.55,46.39,2.46
tucumcari,1,US,1554165017,17,35.17,-103.73,64.4,8.05
vao,0,EE,1554165462,81,59.1,26.19,26.32,8.72
pingliang,76,CN,1554165627,71,35.54,106.68,43.42,4.59
khor,0,RU,1554165627,83,47.88,134.96,28.21,4.14
kiruna,0,SE,1554162600,79,67.86,20.23,28.4,14.99
morros,75,BR,1554163200,100,-2.87,-44.04,75.2,4.7
coquimbo,90,CL,1554163200,87,-29.95,-71.34,59.0,5.82
hay river,40,CA,1554163200,39,60.82,-115.79,32.0,16.11
pasan,0,IN,1554165628,78,22.84,82.2,56.74,2.13
acajutla,0,SV,1554165628,58,13.59,-89.83,84.73,6.49
luziania,20,BR,1554163200,69,-16.25,-47.95,73.4,4.7
pierre,90,US,1554165629,86,44.37,-100.35,37.0,5.82
baykit,24,RU,1554165436,81,61.68,96.39,25.69,8.72
kachhwa,0,IN,1554165629,50,25.21,82.72,67.0,3.13
eyl,92,SO,1554165466,100,7.98,49.82,77.35,3.91
arauca,75,VE,1554163200,74,7.08,-70.76,84.2,6.49
kenai,1,US,1554165424,48,60.55,-151.26,48.0,6.93
nara,20,JP,1554165534,45,34.68,135.8,48.2,4.7
pisco,0,PE,1554163200,88,-13.71,-76.2,69.8,16.11
aksarka,20,RU,1554165631,76,66.56,67.8,13.0,10.96
karachi,0,PK,1554162900,73,24.87,67.03,75.2,5.82
megion,75,RU,1554163200,94,61.04,76.11,33.8,17.9
nevelsk,20,RU,1554163200,54,46.67,141.86,30.2,2.24
neuruppin,0,DE,1554165603,48,52.92,12.81,42.01,12.75
marshall,1,US,1554165616,65,39.39,-87.69,46.99,6.93
presidencia roque saenz pena,92,AR,1554165632,95,-26.79,-60.44,72.4,10.96
taywarah,80,AF,1554165632,81,33.35,64.42,32.17,2.24
ust-kuyga,0,RU,1554165632,79,70.0,135.55,15.25,2.8
aginskoye,0,RU,1554165633,59,51.11,114.54,22.0,2.91
yar-sale,0,RU,1554165186,71,66.83,70.83,10.75,6.6
avarua,36,CK,1554163200,69,-21.21,-159.78,82.4,9.17
flin flon,44,CA,1554165633,61,54.77,-101.88,33.97,11.74
lhokseumawe,76,ID,1554165500,100,5.18,97.15,80.23,1.01
zyryanka,76,RU,1554165633,75,65.73,150.89,11.65,5.48
flinders,40,AU,1554165335,64,-34.58,150.85,75.0,4.7
nishihara,20,JP,1554165605,39,35.74,139.53,51.01,9.17
joao pinheiro,76,BR,1554165635,63,-17.74,-46.17,76.0,1.79
chumikan,0,RU,1554165635,59,54.72,135.31,26.41,7.38
puerto leguizamo,36,CO,1554165622,71,-0.19,-74.78,84.37,2.91
pakenham,0,AU,1554165634,55,-38.08,145.48,70.0,3.36
mahajanga,20,MG,1554163200,88,-15.72,46.32,78.8,8.72
neiafu,40,TO,1554163200,69,-18.65,-173.98,82.4,4.7
garachine,92,PA,1554165636,95,8.06,-78.36,78.52,5.93
sioux lookout,75,CA,1554163200,55,50.1,-91.92,33.8,11.41
sao miguel do araguaia,24,BR,1554165636,94,-13.28,-50.16,77.62,2.57
dunedin,44,NZ,1554165037,63,-45.87,170.5,54.0,5.99
faanui,48,PF,1554165422,100,-16.48,-151.75,84.37,6.26
ossora,76,RU,1554165513,100,59.24,163.07,29.38,6.15
tiznit,56,MA,1554165637,93,29.7,-9.73,55.84,1.68
batemans bay,0,AU,1554165402,67,-35.71,150.18,70.0,3.0
mizdah,0,LY,1554165638,82,31.45,12.98,55.75,11.63
tabory,0,PL,1554165554,56,53.89,19.53,37.99,1.01
narrabri,56,AU,1554163200,49,-30.33,149.78,71.6,10.29
fremont,90,US,1554165341,72,37.55,-121.99,64.0,8.05
mareeba,75,AU,1554165354,94,-16.99,145.42,77.0,11.41
malpe,40,IN,1554163200,78,13.35,74.72,82.4,2.35
casablanca,20,MA,1554165130,72,33.6,-7.62,62.01,5.99
grand gaube,20,MU,1554165241,88,-20.01,57.66,75.99,3.36
salihorsk,0,BY,1554165639,72,52.79,27.54,27.94,4.14
iberia,0,PE,1554165640,77,-11.41,-69.49,82.03,2.57
road town,40,VG,1554165132,74,18.42,-64.62,79.0,5.82
namibe,0,AO,1554165417,99,-15.19,12.15,79.6,12.41
kasongo-lunda,36,CD,1554165462,95,-6.48,16.82,68.35,2.24
san patricio,76,PY,1554165640,76,-26.98,-56.83,77.62,3.47
manicore,0,BR,1554165639,67,-5.81,-61.3,83.02,3.69
axim,12,GH,1554165443,97,4.87,-2.24,83.38,10.63
kukes,0,AL,1554165641,73,42.08,20.42,31.0,2.01
saint-georges,48,CA,1554165093,69,46.12,-70.67,28.0,7.0
estelle,1,US,1554165365,28,32.87,-97.01,61.0,4.47
houma,68,CN,1554165642,59,35.63,111.36,46.39,3.02
ushtobe,92,KZ,1554165642,100,45.25,77.98,42.25,5.14
soe,8,EE,1554165616,80,57.91,26.05,30.2,6.93
kisaran,44,ID,1554165642,99,2.98,99.62,74.65,2.13
abu samrah,64,SY,1554165643,95,35.3,37.18,48.82,10.63
kudahuvadhoo,56,MV,1554165643,100,2.67,72.89,83.11,4.7
sao geraldo do araguaia,88,BR,1554165643,97,-6.4,-48.55,73.39,5.37
najran,0,SA,1554163200,34,17.54,44.22,78.8,2.24
qasigiannguit,0,GL,1554162600,40,68.82,-51.19,15.8,12.75
san ramon,0,NI,1554165454,62,12.92,-85.84,73.0,2.68
villa carlos paz,90,AR,1554165021,94,-31.42,-64.5,68.0,2.24
venice,1,US,1554165311,83,27.1,-82.45,72.0,7.49
chifeng,0,CN,1554165645,40,42.27,118.96,31.18,6.82
oussouye,0,SN,1554165645,86,12.49,-16.54,71.05,16.89
scarborough,32,GB,1554165542,86,54.28,-0.41,46.0,8.05
wangqing,0,CN,1554165646,44,43.31,129.76,32.8,4.03
